"i";"xi";"yi";"f(x, y)";"si1";"si2";"lambdai";"|yi-y(i-1)|";"|yi-y(i-1)|";"|fi-f(i-1)|";"angle((xi, yi), si)";"gi1";"gi2";"etai11";"etai12";"etai21";"etai22";
"10";"1,5859266020427287";"2,489645654487421";"0,40842442987528266";"0,11374001307879666";"0,3868809245309679";"-1,7881618703705282";"0,20338555452294937";"0,6918057176199747";"0,25533921949177446";"0,2812523343512459";"17,359426698534456";"-5,103506515874923";"1";"0";"0";"1";
"11";"1,5743536509103724";"2,493047992164671";"0,3507871526117461";"17,359426698534456";"-5,103506515874923";"-0,0006666666666666668";"0,011572951132356306";"0,003402337677249949";"0,05763727726353657";"1,2934726810856012";"-7,956456222521545";"2,89171480597048";"0,09111348781811923";"0,28705214610250257";"0,28705214610250257";"0,9093407884508651";
"12";"1,4642929698564753";"2,1312094618280226";"0,23232381388435328";"0,10513246386409236";"0,34563638759081616";"-1,046876264558734";"0,11006068105389709";"0,36183853033664837";"0,11846333872739281";"0,3067174937027188";"8,51036678551845";"-2,588887948614804";"1";"0";"0";"1";
"13";"1,4612292378136886";"2,1321414614895238";"0,2136623084581296";"8,51036678551845";"-2,588887948614804";"-0,00035999999999999997";"0,0030637320427866414";"0,0009319996615013294";"0,018661505426223662";"1,2652904499976283";"2,70482145051717";"-0,6098847904099536";"0,10458146302431115";"0,3052489786290084";"0,3052489786290084";"0,8959403506780621";
"14";"1,3328552944572583";"1,7614872432602866";"0,13334065073225532";"0,0967074751606199";"0,27922359215108905";"-1,3274459202167794";"0,1283739433564304";"0,3706542182292371";"0,0803216577258743";"0,3143386294735818";"8,671368738915584";"-3,003198540491603";"1";"0";"0";"1";
"15";"1,3259181994661258";"1,7638898020926799";"0,10962241446303227";"8,671368738915584";"-3,003198540491603";"-0,0008000000000000001";"0,006937094991132468";"0,0024025588323932827";"0,02371823626922305";"1,2596133629886457";"-2,44059223159932";"1,1661460834373916";"0,12396252763489068";"0,32871585285330174";"0,32871585285330174";"0,8766558334253087";
"16";"1,2342349991619315";"1,5141686758529385";"0,06327007882505326";"0,08078872241352952";"0,22004740979415272";"-1,1348514689327516";"0,09168320030419429";"0,24972112623974135";"0,04635233563797901";"0,3320309736897093";"4,9943392917532865";"-1,8334714606628832";"1";"0";"0";"1";
"17";"1,2302395277285287";"1,5156354530214688";"0,05347083930256083";"4,9943392917532865";"-1,8334714606628832";"-0,0008000000000000001";"0,00399547143340263";"0,001466777168530307";"0,009799239522492426";"1,24079800104721";"-0,5956360286208167";"0,42923148715110493";"0,14140182280402724";"0,347565388137583";"0,347565388137583";"0,8593035691902522";
"18";"1,1465546065210583";"1,3071797039815505";"0,026965746111623994";"0,06496198825781054";"0,1618176814414617";"-1,2882136685126602";"0,08368492120747047";"0,20845574903991837";"0,026505093190936836";"0,3382726995358088";"3,6904705578569565";"-1,4815523506217065";"1";"0";"0";"1";
"19";"1,1436022300747728";"1,3083649458620479";"0,020650640211565048";"3,6904705578569565";"-1,4815523506217065";"-0,0008000000000000001";"0,002952376446285566";"0,0011852418804973654";"0,0063151059000589455";"1,2342522061604002";"0,040696319811835746";"0,10777704601085958";"0,1600874864568924";"0,365771128810168";"0,365771128810168";"0,8407113639649352";
"20";"1,0739131261125128";"1,1483219661402868";"0,007930692547665923";"0,04593670332594014";"0,1054949261918961";"-1,5170680287565825";"0,06968910396225995";"0,160042979721761";"0,012719947663899125";"0,3412468577465465";"2,281664268984765";"-0,9934872592925803";"1";"0";"0";"1";
