"i";"xi";"yi";"f(x, y)";"si1";"si2";"lambdai";"|yi-y(i-1)|";"|yi-y(i-1)|";"|fi-f(i-1)|";"angle((xi, yi), si)";"gi1";"gi2";
"17";"0,5752785132426638";"0,32983143426748385";"0,1805124261045566";"-0,4760457979356352";"-0,56892329829571";"-0,002828125";"0,0009954135010962417";"0,0029431438292887723";"0,0017388423083810334";"2,788134301268306";"-0,5931141632413841";"-0,2227867062411626";
"18";"0,7090792974483819";"0,4897370227528212";"0,10168188460171954";"3,121375518566251";"-2,611285463413948";"-0,2810670418391321";"0,1338007842057182";"0,15990558848533737";"0,07883054150283705";"1,3010863368334984";"3,121375518566251";"-2,611285463413948";
"19";"0,7043972341705326";"0,4936539509479421";"0,08801679772462809";"0,16986480037080537";"-0,5466433669976891";"-0,0015";"0,0046820632778493765";"0,003916928195120922";"0,013665086877091448";"1,8807887267256485";"0,1192530573787931";"-0,5043025118308009";
"20";"0,7039980518896611";"0,4949385628603867";"0,08766267451201379";"-0,4020105341113438";"-0,13493884081027252";"-0,0023500000000000005";"0,0003991822808713927";"0,0012846119124445697";"0,000354123212614299";"2,8526726066556436";"-0,4020105341113438";"-0,13493884081027252";
"21";"0,7058699134391171";"0,4955668718379095";"0,08723367889789861";"-0,5395198441024341";"-0,7752415183320236";"-0,004656250000000001";"0,0018718615494559448";"0,0006283089775228315";"0,00042899561411517684";"2,790901569527316";"0,16997480167100498";"-0,5370925721274289";
"22";"0,8084146289724766";"0,6429144102760205";"0,047982973972570085";"3,0509105950053588";"-2,1239604121373157";"-0,19006662434067984";"0,1025447155333595";"0,147347538438111";"0,039250704925328526";"1,280007694830577";"3,0509105950053588";"-2,1239604121373157";
"23";"0,8038382630799685";"0,6461003508942265";"0,03847973619302897";"-0,34346373220520726";"-0,03268902885057104";"-0,0015";"0,004576365892508039";"0,0031859406182059738";"0,009503237779540687";"2,5594465036441436";"-0,37444537224015795";"-0,011120459438851427";
"24";"0,8046454028506508";"0,6461771701120254";"0,03832650537461361";"0,020321127552132223";"-0,2554108433321378";"-0,0023500000000000005";"0,0008071397706822372";"0,00007681921779884196";"0,00015323081841536051";"2,1680040447730304";"0,020321127552132223";"-0,2554108433321378";
"25";"0,8045691986223303";"0,6471349607745209";"0,03819706464360205";"-0,2938833415209339";"-0,4628405249411338";"-0,0037500000000000003";"0,00007620422832049584";"0,0009577906624955169";"0,00012944073101155834";"2,8138954167225507";"-0,3275791466204254";"-0,03932691945158773";
"26";"0,8736782605321943";"0,7559756807929173";"0,021341838745556424";"2,311784686451758";"-1,467604426728708";"-0,23515814660403667";"0,06910906190986396";"0,10884072001839644";"0,016855225898045625";"1,2789390897879747";"2,311784686451758";"-1,467604426728708";
"27";"0,8711815330708265";"0,7575606935737843";"0,01678923819563786";"0,2692551081332547";"-0,3048506924229486";"-0,0010799999999999998";"0,002496727461367898";"0,0015850127808670043";"0,0045526005499185625";"1,5630718102313572";"0,22902946006132985";"-0,27931399797023193";
"28";"0,8708907375540426";"0,7578899323216011";"0,016700645081569786";"-0,06287967077459089";"-0,11214888716464255";"-0,0010799999999999998";"0,00029079551678391503";"0,00032923874781678444";"0,00008859311406807582";"2,797933989767279";"-0,06287967077459089";"-0,11214888716464255";
"29";"0,9528650105365954";"0,9040949518116024";"0,003709179723645286";"-8,086367263538751";"-17,647447384398998";"-1,3036689278544686";"0,08197427298255287";"0,14620501949000134";"0,0129914653579245";"2,7596035975533137";"1,375724970644876";"-0,7713552986607475";
"30";"0,9718679736059115";"0,94556645316494";"0,0008993827601007293";"-0,46020933073751014";"0,20781900881587934";"-0,0023500000000000005";"0,019002963069316068";"0,04147150135333765";"0,0028097969635445565";"1,9457477781365775";"-0,46020933073751014";"0,20781900881587934";
"31";"0,972364999683108";"0,9453420086354188";"0,0007659940452905843";"0,0020407411037697623";"-0,029575379258094038";"-0,0010799999999999998";"0,0004970260771965108";"0,00022444452952114963";"0,000133388714810145";"2,2732119668595248";"0,00372687403066041";"-0,03033679466233341";
"32";"0,972356326533417";"0,9454677039972658";"0,0007641810033635603";"-0,05173950951185757";"-0,0018243504590564896";"-0,00425";"0,00000867314969102149";"0,00012569536184689966";"0,0000018130419270240587";"2,405459646812532";"-0,05173950951185757";"-0,0018243504590564896";
